vehicle_id,local_x_norm,local_y_norm,global_time_norm,accident
vehicle_1,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.3988313557089582, -1.32633086018862, -1.206815451182406, -1.0953697005717844, -1.0135082042029926, -0.902597373957684, -0.8212558464736878, -0.7394450495287496, -0.6134388840365339, -0.531537882725966, -0.435187059109763, -0.3242803941153837, -0.2481246165151884, -0.1522227566090031, -0.0500530752440531, 0.0612642591128165, 0.1428242282732655, 0.2152013546294229, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7215586925498849, 0.803127520479408, 0.914017273647414, 1.0251258921833173, 1.1066613310897238, 1.1884716020499415, 1.2700353942850953, 1.4106705454115176, 1.4925861528287578, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.4139279862720642, -1.3503132086917182, -1.2196376971756595, -1.078373355167725, -1.0274101590348104, -0.885293779231454, -0.833502094773295, -0.7824572916696968, -0.5956744153270476, -0.5447749330784719, -0.4481781437698762, -0.306055051422641, -0.2468796696710329, -0.1497198552778553, -0.0613629965698001, 0.080104100449901, 0.1315499999976095, 0.1953055517409653, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.7101186930069339, 0.7615505007688798, 0.9037029454711776, 1.0455019801312562, 1.0969868722400506, 1.1480325210323328, 1.1994723398151506, 1.4316611320037982, 1.482537029410835, 1.6247407079400693, 1.7212804959082049]","[-1.7605572471200286, -1.6643886880005685, -1.5682201288811084, -1.4720515697616483, -1.3758830106421884, -1.2797144515227283, -1.1835458924032682, -1.0873773332838084, -0.9912087741643484, -0.8950402150448882, -0.7988716559254282, -0.7027030968059681, -0.6065345376865081, -0.510365978567048, -0.414197419447588, -0.3180288603281279, -0.2218603012086679, -0.1256917420892079, -0.0295231829697478, 0.0666453761497122, 0.1628139352691722, 0.2589824943886323, 0.3551510535080923, 0.4513196126275524, 0.5474881717470124, 0.6436567308664725, 0.7398252899859324, 0.8359938491053925, 0.9321624082248524, 1.0283309673443126, 1.1244995264637727, 1.2206680855832326, 1.316836644702693, 1.4130052038221528, 1.5091737629416129, 1.6053423220610727]",0
vehicle_10,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.399212269111464, -1.3177223790925616, -1.205988487082914, -1.0953697005717844, -1.0265126204914408, -0.902597373957684, -0.820866321795829, -0.7526799915619429, -0.6134388840365339, -0.5314820226976184, -0.4396307924495342, -0.3242803941153837, -0.2473261853346574, -0.1533875033303004, -0.0539344945430324, 0.0612642591128165, 0.142419714012785, 0.2245068151069175, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7136607189745687, 0.794988067229765, 0.9138644413293504, 1.0251258921833173, 1.1073182786312057, 1.1889854146484191, 1.2706308015280767, 1.4106705454115176, 1.4922067740734426, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.4133133261868849, -1.361756140196217, -1.220963377870962, -1.078373355167725, -1.0108196184310356, -0.885293779231454, -0.8341209823671035, -0.7658881277771923, -0.5956744153270476, -0.5448652135246485, -0.4416311236377858, -0.306055051422641, -0.2479251278072809, -0.1482701131081691, -0.0556773628359034, 0.080104100449901, 0.1321877953361829, 0.1827856389942206, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.721105713928023, 0.7729197318821597, 0.9039462998414344, 1.0455019801312562, 1.09592806841821, 1.147203132915812, 1.1985129319522765, 1.4316611320037982, 1.4831447693835067, 1.6247407079400693, 1.7212804959082049]","[-1.7605572471200286, -1.6643886880005685, -1.5682201288811084, -1.4720515697616483, -1.3758830106421884, -1.2797144515227283, -1.1835458924032682, -1.0873773332838084, -0.9912087741643484, -0.8950402150448882, -0.7988716559254282, -0.7027030968059681, -0.6065345376865081, -0.510365978567048, -0.414197419447588, -0.3180288603281279, -0.2218603012086679, -0.1256917420892079, -0.0295231829697478, 0.0666453761497122, 0.1628139352691722, 0.2589824943886323, 0.3551510535080923, 0.4513196126275524, 0.5474881717470124, 0.6436567308664725, 0.7398252899859324, 0.8359938491053925, 0.9321624082248524, 1.0283309673443126, 1.1244995264637727, 1.2206680855832326, 1.316836644702693, 1.4130052038221528, 1.5091737629416129, 1.6053423220610727]",0
vehicle_100,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.4008168375624075, -1.3190611428457222, -1.206705824880955, -1.0953697005717844, -1.0139876404927155, -0.902597373957684, -0.8207470508574914, -0.738731859816142, -0.6134388840365339, -0.6297519693910951, -0.43504922040252, -0.3242803941153837, -0.2426318851830334, -0.14642076230525, -0.0500542899515519, 0.0612642591128165, 0.1402726463371925, 0.221593234714919, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7158543619673318, 0.7974394563202805, 0.9142165197017011, 1.0251258921833173, 1.1071860238426037, 1.1890970764798343, 1.263629262013089, 1.4106705454115176, 1.4836450855090302, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.4108310055198623, -1.359697713476311, -1.219810715213431, -1.078373355167725, -1.026645587690194, -0.885293779231454, -0.8343125827785184, -0.7835978902920915, -0.5956744153270476, -0.500527345308619, -0.4484009733714189, -0.306055051422641, -0.2547502364576053, -0.1579320484515435, -0.0613610734485532, 0.080104100449901, 0.1354004922523202, 0.1872251528326865, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.718366399060275, 0.7697723175154931, 0.9033832511964328, 1.0455019801312562, 1.096143690844495, 1.147026944591681, 1.208241012383006, 1.4316611320037982, 1.494729811007033, 1.6247407079400693, 1.7212804959082049]","[-1.7605572471200286, -1.6643886880005685, -1.5682201288811084, -1.4720515697616483, -1.3758830106421884, -1.2797144515227283, -1.1835458924032682, -1.0873773332838084, -0.9912087741643484, -0.8950402150448882, -0.7988716559254282, -0.7027030968059681, -0.6065345376865081, -0.510365978567048, -0.414197419447588, -0.3180288603281279, -0.2218603012086679, -0.1256917420892079, -0.0295231829697478, 0.0666453761497122, 0.1628139352691722, 0.2589824943886323, 0.3551510535080923, 0.4513196126275524, 0.5474881717470124, 0.6436567308664725, 0.7398252899859324, 0.8359938491053925, 0.9321624082248524, 1.0283309673443126, 1.1244995264637727, 1.2206680855832326, 1.316836644702693, 1.4130052038221528, 1.5091737629416129, 1.6053423220610727]",1
vehicle_1000,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.3993862761010387, -1.3172806512525828, -1.2097373196659658, -1.0953697005717844, -1.0132756799448572, -0.902597373957684, -0.8208224958434003, -0.7431328348579352, -0.6134388840365339, -0.5314476359195363, -0.4352709315135464, -0.3242803941153837, -0.2429357620539311, -0.1463806457993113, -0.0499932011382049, 0.0612642591128165, 0.1432599427123191, 0.2253306703309666, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7215457149077615, 0.7971531361916062, 0.914191143543283, 1.0251258921833173, 1.106944803939735, 1.183886242037574, 1.2599919190189304, 1.4106705454115176, 1.492378898943148, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.4130359218213844, -1.3624682383254365, -1.2153011618059684, -1.078373355167725, -1.0277867749126472, -0.885293779231454, -0.8341912697507347, -0.7770511611631657, -0.5956744153270476, -0.5449208996346339, -0.4480432140649617, -0.306055051422641, -0.2542682587440606, -0.1579956677679603, -0.06145791366414, 0.080104100449901, 0.1308504271497022, 0.181474909288688, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.7101397061951772, 0.7700163427590158, 0.9034241225018392, 1.0455019801312562, 1.0965337336145509, 1.1546806135133132, 1.213920621403999, 1.4316611320037982, 1.4828702798666216, 1.6247407079400693, 1.7212804959082049]","[-1.7605572471200286, -1.6643886880005685, -1.5682201288811084, -1.4720515697616483, -1.3758830106421884, -1.2797144515227283, -1.1835458924032682, -1.0873773332838084, -0.9912087741643484, -0.8950402150448882, -0.7988716559254282, -0.7027030968059681, -0.6065345376865081, -0.510365978567048, -0.414197419447588, -0.3180288603281279, -0.2218603012086679, -0.1256917420892079, -0.0295231829697478, 0.0666453761497122, 0.1628139352691722, 0.2589824943886323, 0.3551510535080923, 0.4513196126275524, 0.5474881717470124, 0.6436567308664725, 0.7398252899859324, 0.8359938491053925, 0.9321624082248524, 1.0283309673443126, 1.1244995264637727, 1.2206680855832326, 1.316836644702693, 1.4130052038221528, 1.5091737629416129, 1.6053423220610727]",0
vehicle_10000,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.4007832441950132, -1.4171130199197275, -1.2060840937412625, -1.0953697005717844, -1.0135481873552774, -0.902597373957684, -0.8207098558331606, -0.7500075416316246, -0.6134388840365339, -0.5317543835586707, -0.4353070803827417, -0.3242803941153837, -0.2422949106617867, -0.1461357317301267, -0.0493789962768555, 0.0612642591128165, 0.1434236388637253, 0.2248101515634183, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7215708923136448, 0.8035154832865672, 0.9144195858473724, 1.0251258921833173, 1.1070451654051212, 1.1884708561999704, 1.269871154539897, 1.4106705454115176, 1.492473194159562, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.4108813050532665, -1.31573710726091, -1.2208076472008509, -1.078373355167725, -1.0273457861343995, -0.885293779231454, -0.8343725387759097, -0.7687587746468421, -0.5956744153270476, -0.5444271063534457, -0.4479852118925462, -0.306055051422641, -0.2552921945149037, -0.1583864698113158, -0.0624460026901575, 0.080104100449901, 0.1305841202096644, 0.1823048594676794, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.7100989283782949, 0.7609279804506719, 0.9030545412654752, 1.0455019801312562, 1.0963719558960217, 1.148030796842698, 1.1997297677194976, 1.4316611320037982, 1.482719033757853, 1.6247407079400693, 1.7212804959082049]","[-1.7220898234722446, -1.6259212643527845, -1.5297527052333244, -1.4335841461138643, -1.3374155869944044, -1.2412470278749443, -1.1450784687554842, -1.0489099096360244, -0.9527413505165642, -0.8565727913971042, -0.7604042322776441, -0.6642356731581841, -0.568067114038724, -0.471898554919264, -0.375729995799804, -0.2795614366803439, -0.1833928775608839, -0.0872243184414238, 0.0089442406780361, 0.1051127997974962, 0.2012813589169562, 0.2974499180364163, 0.3936184771558763, 0.4897870362753364, 0.5859555953947965, 0.6821241545142565, 0.7782927136337165, 0.8744612727531765, 0.9706298318726366, 1.0667983909920966, 1.1629669501115567, 1.2591355092310168, 1.355304068350477, 1.4514726274699368, 1.5476411865893969, 1.643809745708857]",1
vehicle_10001,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.399374659805419, -1.3205250272001907, -1.2064566725687371, -1.0953697005717844, -1.013218719119067, -0.902597373957684, -0.8217481718164207, -0.7403279295416615, -0.6134388840365339, -0.5314697044239182, -0.439952505813981, -0.3242803941153837, -0.2420822397165356, -0.1465516730908689, -0.0496216784620742, 0.0612642591128165, 0.1427358691701533, 0.2245250159891241, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7108066679763396, 0.7927986077133494, 0.914276906299324, 1.0251258921833173, 1.1071293932393322, 1.1888032388900829, 1.2704678325737264, 1.4106705454115176, 1.4926944993122244, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.41305437573494, -1.3575311230781777, -1.2202069879352155, -1.078373355167725, -1.0278796256100529, -0.885293779231454, -0.832734442025909, -0.7810669866222745, -0.5956744153270476, -0.5448851520919059, -0.4411991169093718, -0.306055051422641, -0.2556383958574486, -0.1577252022290818, -0.0620524135775891, 0.080104100449901, 0.1316902600347215, 0.1827698565772385, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.7243865418690079, 0.7751389366821458, 0.903285808298971, 1.0455019801312562, 1.0962356329365868, 1.1474999751711707, 1.198779101603825, 1.4316611320037982, 1.4823616053372106, 1.6247407079400693, 1.7212804959082049]","[-1.7220898234722446, -1.6259212643527845, -1.5297527052333244, -1.4335841461138643, -1.3374155869944044, -1.2412470278749443, -1.1450784687554842, -1.0489099096360244, -0.9527413505165642, -0.8565727913971042, -0.7604042322776441, -0.6642356731581841, -0.568067114038724, -0.471898554919264, -0.375729995799804, -0.2795614366803439, -0.1833928775608839, -0.0872243184414238, 0.0089442406780361, 0.1051127997974962, 0.2012813589169562, 0.2974499180364163, 0.3936184771558763, 0.4897870362753364, 0.5859555953947965, 0.6821241545142565, 0.7782927136337165, 0.8744612727531765, 0.9706298318726366, 1.0667983909920966, 1.1629669501115567, 1.2591355092310168, 1.355304068350477, 1.4514726274699368, 1.5476411865893969, 1.643809745708857]",0
vehicle_10002,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.4013474050241443, -1.3194956754182527, -1.215272128871896, -1.0953697005717844, -1.0140596055211712, -0.902597373957684, -0.8212339697089416, -0.7406857451834923, -0.6134388840365339, -0.5317557356984075, -0.435540291694511, -0.3242803941153837, -0.2428629336331483, -0.1458608636875533, -0.049469589794607, 0.0612642591128165, 0.1425926563906351, 0.2148017767010183, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7216560979264759, 0.8037732090069538, 0.9130333722043524, 1.0251258921833173, 1.1000032605923935, 1.1815633407485349, 1.2633692066017448, 1.4106705454115176, 1.492860112185411, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.4100454967641796, -1.359066565730283, -1.20826299218303, -1.078373355167725, -1.0265321801667864, -0.885293779231454, -0.8335365790946092, -0.7805156783847965, -0.5956744153270476, -0.5444249443284653, -0.4476131969172201, -0.306055051422641, -0.2543831986040703, -0.1588300707265926, -0.0622985815050887, 0.080104100449901, 0.1319164665669497, 0.1958628443904752, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.7099605908040127, 0.760509560090864, 0.9052422253582236, 1.0455019801312562, 1.1062919788503656, 1.1577377018687955, 1.208790432516278, 1.4316611320037982, 1.4820918306121451, 1.6247407079400693, 1.7212804959082049]","[-1.7220898234722446, -1.6259212643527845, -1.5297527052333244, -1.4335841461138643, -1.3374155869944044, -1.2412470278749443, -1.1450784687554842, -1.0489099096360244, -0.9527413505165642, -0.8565727913971042, -0.7604042322776441, -0.6642356731581841, -0.568067114038724, -0.471898554919264, -0.375729995799804, -0.2795614366803439, -0.1833928775608839, -0.0872243184414238, 0.0089442406780361, 0.1051127997974962, 0.2012813589169562, 0.2974499180364163, 0.3936184771558763, 0.4897870362753364, 0.5859555953947965, 0.6821241545142565, 0.7782927136337165, 0.8744612727531765, 0.9706298318726366, 1.0667983909920966, 1.1629669501115567, 1.2591355092310168, 1.355304068350477, 1.4514726274699368, 1.5476411865893969, 1.643809745708857]",0
vehicle_10003,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.4019930040517372, -1.3200992613564455, -1.2062015233206491, -1.0953697005717844, -1.0139104317650884, -0.902597373957684, -0.8208918801501739, -0.7514695258561909, -0.6134388840365339, -0.5410977027376834, -0.4357059070642525, -0.3242803941153837, -0.242150417344307, -0.1477842316396347, -0.0495759245855174, 0.0612642591128165, 0.1427092328694632, 0.2180241734088904, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7186654679564043, 0.8006389784387765, 0.9140701727487728, 1.0251258921833173, 1.107141054226939, 1.1887658500028666, 1.2702702715492522, 1.4106705454115176, 1.49210322814436, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.409111566914886, -1.3582003696283964, -1.220617269531871, -1.078373355167725, -1.0267676476699277, -0.885293779231454, -0.8340800541744776, -0.7671092233481595, -0.5956744153270476, -0.5318779508383937, -0.4473512725491072, -0.306055051422641, -0.2555270551997129, -0.1558324447305259, -0.0621262966392191, 0.080104100449901, 0.1317324376284183, 0.1919777222054301, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.7145303510376912, 0.7653126016811967, 0.9036183383069648, 1.0455019801312562, 1.0962167196620347, 1.1475593736225682, 1.199093510994947, 1.4316611320037982, 1.4833089153018448, 1.6247407079400693, 1.7212804959082049]","[-1.7220898234722446, -1.6259212643527845, -1.5297527052333244, -1.4335841461138643, -1.3374155869944044, -1.2412470278749443, -1.1450784687554842, -1.0489099096360244, -0.9527413505165642, -0.8565727913971042, -0.7604042322776441, -0.6642356731581841, -0.568067114038724, -0.471898554919264, -0.375729995799804, -0.2795614366803439, -0.1833928775608839, -0.0872243184414238, 0.0089442406780361, 0.1051127997974962, 0.2012813589169562, 0.2974499180364163, 0.3936184771558763, 0.4897870362753364, 0.5859555953947965, 0.6821241545142565, 0.7782927136337165, 0.8744612727531765, 0.9706298318726366, 1.0667983909920966, 1.1629669501115567, 1.2591355092310168, 1.355304068350477, 1.4514726274699368, 1.5476411865893969, 1.643809745708857]",0
vehicle_10004,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.4078073535625295, -1.3263859520126318, -1.2084199755030387, -1.0953697005717844, -1.0135075955091335, -0.902597373957684, -0.8207659533567945, -0.7386882729031087, -0.6134388840365339, -0.5359574926193929, -0.4352981018780231, -0.3242803941153837, -0.2428763489793925, -0.1457351680077044, -0.0588736076532405, 0.0612642591128165, 0.143035738252661, 0.2250569660176372, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7198524663818898, 0.8012418559748432, 0.9143160990650177, 1.0251258921833173, 1.1071346296388478, 1.1888500419241796, 1.270487998407686, 1.4106705454115176, 1.485439298857541, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.4016179096957948, -1.3499522870113552, -1.2171938370888469, -1.078373355167725, -1.02741113990386, -0.885293779231454, -0.8342821505927172, -0.7836689778603497, -0.5956744153270476, -0.53825131442233, -0.4479996096950732, -0.306055051422641, -0.2543619991910072, -0.1590347261963489, -0.049514188133365, 0.080104100449901, 0.1312120659595203, 0.1819169634780525, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.7127834920588442, 0.7644996895848541, 0.9032224262921312, 1.0455019801312562, 1.096227141082084, 1.1474249884643255, 1.198746646735163, 1.4316611320037982, 1.4925850977781654, 1.6247407079400693, 1.7212804959082049]","[-1.7220898234722446, -1.6259212643527845, -1.5297527052333244, -1.4335841461138643, -1.3374155869944044, -1.2412470278749443, -1.1450784687554842, -1.0489099096360244, -0.9527413505165642, -0.8565727913971042, -0.7604042322776441, -0.6642356731581841, -0.568067114038724, -0.471898554919264, -0.375729995799804, -0.2795614366803439, -0.1833928775608839, -0.0872243184414238, 0.0089442406780361, 0.1051127997974962, 0.2012813589169562, 0.2974499180364163, 0.3936184771558763, 0.4897870362753364, 0.5859555953947965, 0.6821241545142565, 0.7782927136337165, 0.8744612727531765, 0.9706298318726366, 1.0667983909920966, 1.1629669501115567, 1.2591355092310168, 1.355304068350477, 1.4514726274699368, 1.5476411865893969, 1.643809745708857]",0
vehicle_10005,"[-1.6736866804140846, -1.577300517107035, -1.4809143537999847, -1.3992933762389097, -1.3171494737658638, -1.2064017318586169, -1.0953697005717844, -1.013863878555332, -0.902597373957684, -0.8208883706489332, -0.7392647768697179, -0.6134388840365339, -0.5452531286318941, -0.4356994050995114, -0.3242803941153837, -0.2534759929573261, -0.1463831385618561, -0.0498316652321287, 0.0612642591128165, 0.1428668942854234, 0.2250554239008619, 0.3504227490339667, 0.4468089123410168, 0.5431950756480669, 0.639581238955117, 0.7180453494419334, 0.7999745919768527, 0.9138132253437228, 1.0251258921833173, 1.1043245074079722, 1.1814738794445778, 1.2601587989015546, 1.4106705454115176, 1.4912623379551733, 1.6034428720256175, 1.6998290353326675]","[-1.6576120829765382, -1.5610722950084026, -1.4645325070402673, -1.4131837640016829, -1.3626784823456606, -1.2202949471151947, -1.078373355167725, -1.0268414398584007, -0.885293779231454, -0.834085671463029, -0.7827411005159584, -0.5956744153270476, -0.5274409844721103, -0.4473615205369118, -0.306055051422641, -0.2405518151114922, -0.1579917113839574, -0.0617152196522813, 0.080104100449901, 0.1314820808872776, 0.1819144751606878, 0.3697234643543076, 0.4662632523224431, 0.5628030402905786, 0.6593428282587142, 0.7154112952790342, 0.7662651620547686, 0.9040274925786552, 1.0455019801312562, 1.1005246984697894, 1.1583945240752125, 1.214151697405476, 1.4316611320037982, 1.484615574345293, 1.6247407079400693, 1.7212804959082049]","[-1.7220898234722446, -1.6259212643527845, -1.5297527052333244, -1.4335841461138643, -1.3374155869944044, -1.2412470278749443, -1.1450784687554842, -1.0489099096360244, -0.9527413505165642, -0.8565727913971042, -0.7604042322776441, -0.6642356731581841, -0.568067114038724, -0.471898554919264, -0.375729995799804, -0.2795614366803439, -0.1833928775608839, -0.0872243184414238, 0.0089442406780361, 0.1051127997974962, 0.2012813589169562, 0.2974499180364163, 0.3936184771558763, 0.4897870362753364, 0.5859555953947965, 0.6821241545142565, 0.7782927136337165, 0.8744612727531765, 0.9706298318726366, 1.0667983909920966, 1.1629669501115567, 1.2591355092310168, 1.355304068350477, 1.4514726274699368, 1.5476411865893969, 1.643809745708857]",0
