vehicle_id,local_x_norm,local_y_norm,global_time_norm,accident
vehicle_1,"[-1.665497207851262, -1.5901201157499636, -1.4735525461277754, -1.3919253578913613, -1.2816078844042889, -1.2929801231098466, -1.089663222680802, -1.0090277422929854, -0.92956734054542, -0.8547980129398106, -0.7057738992338289, -0.6243376162545945, -0.5433077367449626, -0.4620554234163163, -0.3218845757868556, -0.2259122449251123, -0.1471572246363193, -0.0655254751733132, 0.008950936826885, 0.1579770785218609, 0.2539494093836043, 0.3351483244446741, 0.431030561061047, 0.5418664019688343, 0.6229852282210865, 0.7126637323842023, 0.8297833945540642, 0.9114087284547956, 1.0068679872538358, 1.117700387139294, 1.19145353274101, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.569505486196736, 1.693534372309754]","[-1.6383500419383703, -1.5792046288122643, -1.4472449014403026, -1.3969910144271154, -1.256139760942235, -1.1612603917756943, -1.0650346204441672, -1.0132179650916682, -0.9596320621862896, -0.899726828207448, -0.6828243394480317, -0.6322643639588313, -0.5810612231870341, -0.5302086947680067, -0.3006140584518962, -0.2050614882028623, -0.150453090441564, -0.1002065482856262, -0.0399407048104809, 0.177148792793273, 0.2727013630423069, 0.3236383686986218, 0.4193330278684818, 0.5593590737894085, 0.610422415943771, 0.7147479335492117, 0.8460167845365102, 0.8962736571272851, 0.9926430326314142, 1.132674495283612, 1.193815689094056, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.582397747829265, 1.705989916777815]","[-1.6896263510368454, -1.59336616445059, -1.497105977864335, -1.4008457912780798, -1.3045856046918247, -1.2083254181055694, -1.1120652315193142, -1.0158050449330591, -0.919544858346804, -0.8232846717605488, -0.7270244851742935, -0.6307642985880384, -0.5345041120017832, -0.438243925415528, -0.3419837388292728, -0.2457235522430176, -0.1494633656567624, -0.0532031790705072, 0.0430570075157479, 0.1393171941020031, 0.2355773806882583, 0.3318375672745134, 0.4280977538607687, 0.5243579404470239, 0.620618127033279, 0.7168783136195342, 0.8131385002057894, 0.9093986867920446, 1.0056588733782998, 1.101919059964555, 1.19817924655081, 1.2944394331370654, 1.3906996197233206, 1.4869598063095757, 1.5832199928958308, 1.6794801794820862]",0
vehicle_10,"[-1.665497207851262, -1.584215374715401, -1.4735525461277754, -1.391982466972448, -1.2816078844042889, -1.2093206099953409, -1.089663222680802, -1.0084694546663593, -0.927330308526282, -0.8462030624953437, -0.7057738992338289, -0.6246077460371271, -0.5431045586863904, -0.4613025546707577, -0.3218845757868556, -0.2259122449251123, -0.1445181882248911, -0.0632728961199398, 0.0179901927720056, 0.1579770785218609, 0.2539494093836043, 0.3354498279980865, 0.4311611414274882, 0.5418664019688343, 0.6228431544788577, 0.7194538613718853, 0.8297833945540642, 0.9110660707404264, 1.0072087941531969, 1.117700387139294, 1.1987292413021775, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.5829705220681929, 1.693534372309754]","[-1.6383500419383703, -1.587544298674267, -1.4472449014403026, -1.3968991781186249, -1.256139760942235, -1.1932871279065929, -1.0650346204441672, -1.0140894823800677, -0.9630581525298568, -0.9120080716326068, -0.6828243394480317, -0.6318356005162152, -0.5813826034782402, -0.531411286416711, -0.3006140584518962, -0.2050614882028623, -0.1544341553996583, -0.1035705080655385, -0.0527350505900515, 0.177148792793273, 0.2727013630423069, 0.3231587934649554, 0.4191269069632242, 0.5593590737894085, 0.6106454601550066, 0.7051849434060767, 0.8460167845365102, 0.8968211907898611, 0.992102519792229, 1.132674495283612, 1.1838792444864417, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.5655332115674057, 1.705989916777815]","[-1.6896263510368454, -1.59336616445059, -1.497105977864335, -1.4008457912780798, -1.3045856046918247, -1.2083254181055694, -1.1120652315193142, -1.0158050449330591, -0.919544858346804, -0.8232846717605488, -0.7270244851742935, -0.6307642985880384, -0.5345041120017832, -0.438243925415528, -0.3419837388292728, -0.2457235522430176, -0.1494633656567624, -0.0532031790705072, 0.0430570075157479, 0.1393171941020031, 0.2355773806882583, 0.3318375672745134, 0.4280977538607687, 0.5243579404470239, 0.620618127033279, 0.7168783136195342, 0.8131385002057894, 0.9093986867920446, 1.0056588733782998, 1.101919059964555, 1.19817924655081, 1.2944394331370654, 1.3906996197233206, 1.4869598063095757, 1.5832199928958308, 1.6794801794820862]",0
vehicle_100,"[-1.665497207851262, -1.5967776008992351, -1.4735525461277754, -1.3924932305248674, -1.2816078844042889, -1.2004705079800462, -1.089663222680802, -1.0085404810841088, -0.9270942168409444, -0.8452510392876875, -0.7057738992338289, -0.6326251397083223, -0.5513104523130921, -0.4741329211257107, -0.3218845757868556, -0.2259122449251123, -0.1480506851423954, -0.0669634521266473, 0.0145848365783436, 0.1579770785218609, 0.2539494093836043, 0.3351315691794436, 0.4309524483979834, 0.5418664019688343, 0.6236099100111135, 0.7126634984404576, 0.8297833945540642, 0.9109840994947984, 1.006828923171032, 1.117700387139294, 1.1914228878504942, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.5792690293828031, 1.693534372309754]","[-1.6383500419383703, -1.571648256497952, -1.4472449014403026, -1.3960879664478092, -1.256139760942235, -1.2051056419338655, -1.0650346204441672, -1.0139774444067973, -0.96343340877266, -0.9135289651978592, -0.6828243394480317, -0.6209676010021331, -0.5702139982985579, -0.51341688589726, -0.3006140584518962, -0.2050614882028623, -0.1491974884982847, -0.0980844295342512, -0.0477037263331352, 0.177148792793273, 0.2727013630423069, 0.323664835603628, 0.4194557741436476, 0.5593590737894085, 0.6094251878815254, 0.7147482235401558, 0.8460167845365102, 0.8969509617320806, 0.9927044786733444, 1.132674495283612, 1.1938523140471926, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.5709997027380804, 1.705989916777815]","[-1.6896263510368454, -1.59336616445059, -1.497105977864335, -1.4008457912780798, -1.3045856046918247, -1.2083254181055694, -1.1120652315193142, -1.0158050449330591, -0.919544858346804, -0.8232846717605488, -0.7270244851742935, -0.6307642985880384, -0.5345041120017832, -0.438243925415528, -0.3419837388292728, -0.2457235522430176, -0.1494633656567624, -0.0532031790705072, 0.0430570075157479, 0.1393171941020031, 0.2355773806882583, 0.3318375672745134, 0.4280977538607687, 0.5243579404470239, 0.620618127033279, 0.7168783136195342, 0.8131385002057894, 0.9093986867920446, 1.0056588733782998, 1.101919059964555, 1.19817924655081, 1.2944394331370654, 1.3906996197233206, 1.4869598063095757, 1.5832199928958308, 1.6794801794820862]",0
vehicle_1000,"[-1.665497207851262, -1.5864955814550434, -1.4735525461277754, -1.3920313817202112, -1.2816078844042889, -1.2041808576096262, -1.089663222680802, -1.0115000533265373, -0.9299837877250228, -0.8488262753183294, -0.7057738992338289, -0.6240254930590897, -0.5424222217460493, -0.4643011052167194, -0.3218845757868556, -0.2259122449251123, -0.1446998034750938, -0.1602604861443603, -0.0786462516520297, 0.1579770785218609, 0.2539494093836043, 0.3350158613649548, 0.4313987519507308, 0.5418664019688343, 0.6127029032412408, 0.7097872971864835, 0.8297833945540642, 0.906243018144087, 1.007281373725625, 1.117700387139294, 1.1993453231160325, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.5826052502555372, 1.693534372309754]","[-1.6383500419383703, -1.5840958907499894, -1.4472449014403026, -1.3968207029598607, -1.256139760942235, -1.1996802577460828, -1.0650346204441672, -1.009589704921238, -0.9591576564811314, -0.9081552853591522, -0.6828243394480317, -0.6327661536540684, -0.5824737779406848, -0.5269701430301779, -0.3006140584518962, -0.2050614882028623, -0.1541458630868551, -0.0598576226384917, -0.009582884542975, 0.177148792793273, 0.2727013630423069, 0.3238470872592643, 0.4187488219995588, 0.5593590737894085, 0.6238283008788508, 0.7181483516498706, 0.8460167845365102, 0.9037683779217622, 0.9919863666727812, 1.132674495283612, 1.1828997950942288, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.5661104051006678, 1.705989916777815]","[-1.6800003323782198, -1.5837401457919646, -1.4874799592057095, -1.3912197726194544, -1.294959586033199, -1.198699399446944, -1.1024392128606888, -1.0061790262744337, -0.9099188396881784, -0.8136586531019232, -0.717398466515668, -0.6211382799294128, -0.5248780933431576, -0.4286179067569025, -0.3323577201706473, -0.2360975335843921, -0.1398373469981369, -0.0435771604118817, 0.0526830261743734, 0.1489432127606286, 0.2452033993468838, 0.341463585933139, 0.4377237725193942, 0.5339839591056493, 0.6302441456919046, 0.7265043322781597, 0.8227645188644149, 0.9190247054506702, 1.0152848920369253, 1.1115450786231804, 1.2078052652094358, 1.3040654517956909, 1.400325638381946, 1.4965858249682011, 1.5928460115544565, 1.6891061981407116]",0
vehicle_1001,"[-1.665497207851262, -1.5930871391454158, -1.4735525461277754, -1.4004836689987177, -1.2816078844042889, -1.2001816643203256, -1.089663222680802, -1.0083959625153691, -0.9273622752538788, -0.8459850382717876, -0.7057738992338289, -0.6340022146449426, -0.5529131429652416, -0.4731366279654104, -0.3218845757868556, -0.2259122449251123, -0.1538311160409681, -0.0793242665431632, 0.0020891750055219, 0.1579770785218609, 0.2539494093836043, 0.3354833927560041, 0.4314209839203474, 0.5418664019688343, 0.6228455460881878, 0.6229696326006486, 0.8297833945540642, 0.9060526320656, 1.0076017490158784, 1.117700387139294, 1.1987624423038563, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.5827978304362738, 1.693534372309754]","[-1.6383500419383703, -1.575637678266114, -1.4472449014403026, -1.3852946443242544, -1.256139760942235, -1.2055637222966915, -1.0650346204441672, -1.0142057733620014, -0.96300860631803, -0.9123544781772114, -0.6828243394480317, -0.6193886987786182, -0.5682785313787913, -0.5151602534383861, -0.3006140584518962, -0.2050614882028623, -0.1419746067249366, -0.0817460687001366, -0.0311496421967167, 0.177148792793273, 0.2727013630423069, 0.3231050120995325, 0.4187132448995784, 0.5593590737894085, 0.6106417167792784, 0.7493104433086514, 0.8460167845365102, 0.9040173896001354, 0.9914691712948024, 1.132674495283612, 1.1838271270143643, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.565807233712995, 1.705989916777815]","[-1.6800003323782198, -1.5837401457919646, -1.4874799592057095, -1.3912197726194544, -1.294959586033199, -1.198699399446944, -1.1024392128606888, -1.0061790262744337, -0.9099188396881784, -0.8136586531019232, -0.717398466515668, -0.6211382799294128, -0.5248780933431576, -0.4286179067569025, -0.3323577201706473, -0.2360975335843921, -0.1398373469981369, -0.0435771604118817, 0.0526830261743734, 0.1489432127606286, 0.2452033993468838, 0.341463585933139, 0.4377237725193942, 0.5339839591056493, 0.6302441456919046, 0.7265043322781597, 0.8227645188644149, 0.9190247054506702, 1.0152848920369253, 1.1115450786231804, 1.2078052652094358, 1.3040654517956909, 1.400325638381946, 1.4965858249682011, 1.5928460115544565, 1.6891061981407116]",0
vehicle_1002,"[-1.665497207851262, -1.584262972441809, -1.4735525461277754, -1.4012365148525336, -1.2816078844042889, -1.199912628850911, -1.089663222680802, -1.0102479591419051, -0.9349161931000362, -0.8534380079884001, -0.7057738992338289, -0.6246708334419792, -0.5430229845903815, -0.4616462823315386, -0.3218845757868556, -0.2259122449251123, -0.1503514598626328, -0.0690116109622558, 0.0125632951751963, 0.1579770785218609, 0.2539494093836043, 0.3350598926391264, 0.4310460515841138, 0.5418664019688343, 0.6236624988489361, 0.714459488556212, 0.8297833945540642, 0.9111147631832908, 1.0074323382126695, 1.117700387139294, 1.1993531390824002, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.582726523793182, 1.693534372309754]","[-1.6383500419383703, -1.5874688919284847, -1.4472449014403026, -1.3844250682883446, -1.256139760942235, -1.2059956359387924, -1.0650346204441672, -1.0113824279580927, -0.9521797987221176, -0.901686786908702, -0.6828243394480317, -0.6317361873201565, -0.58151558157613, -0.5308606018959124, -0.3006140584518962, -0.2050614882028623, -0.1461488777196248, -0.0954352574919718, -0.0450972874052137, 0.177148792793273, 0.2727013630423069, 0.3237778407680077, 0.4193086369129309, 0.5593590737894085, 0.6093399750410095, 0.7124511579952257, 0.8460167845365102, 0.8967438851024677, 0.9917435751602188, 1.132674495283612, 1.1828871983790148, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.565919782901261, 1.705989916777815]","[-1.6800003323782198, -1.5837401457919646, -1.4874799592057095, -1.3912197726194544, -1.294959586033199, -1.198699399446944, -1.1024392128606888, -1.0061790262744337, -0.9099188396881784, -0.8136586531019232, -0.717398466515668, -0.6211382799294128, -0.5248780933431576, -0.4286179067569025, -0.3323577201706473, -0.2360975335843921, -0.1398373469981369, -0.0435771604118817, 0.0526830261743734, 0.1489432127606286, 0.2452033993468838, 0.341463585933139, 0.4377237725193942, 0.5339839591056493, 0.6302441456919046, 0.7265043322781597, 0.8227645188644149, 0.9190247054506702, 1.0152848920369253, 1.1115450786231804, 1.2078052652094358, 1.3040654517956909, 1.400325638381946, 1.4965858249682011, 1.5928460115544565, 1.6891061981407116]",0
vehicle_1003,"[-1.665497207851262, -1.5840599027762592, -1.4735525461277754, -1.3939460749991377, -1.2816078844042889, -1.2002822934771826, -1.089663222680802, -1.0080654017362292, -0.930019523958586, -0.8482977172488967, -0.7057738992338289, -0.6244567170371336, -0.5434688313775043, -0.4624310434270731, -0.3218845757868556, -0.2259122449251123, -0.1446211637808165, -0.0628092005907935, 0.0183687996677359, 0.1579770785218609, 0.2539494093836043, 0.2367016776656392, 0.4219175167385493, 0.5418664019688343, 0.6228779660336925, 0.7191614635684784, 0.8297833945540642, 0.9111992559898812, 1.0021401025672505, 1.117700387139294, 1.1993113065338588, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.5823941065152296, 1.693534372309754]","[-1.6383500419383703, -1.587791698392505, -1.4472449014403026, -1.3938743384562362, -1.256139760942235, -1.205403478929468, -1.0650346204441672, -1.014733479333705, -0.9591250200770643, -0.9090238002099404, -0.6828243394480317, -0.632074699108635, -0.5808057417489666, -0.5296150090958704, -0.3006140584518962, -0.2050614882028623, -0.1542704142244668, -0.1043152614230044, -0.0533452213603953, 0.177148792793273, 0.2727013630423069, 0.3666982033856756, 0.4314373534827659, 0.5593590737894085, 0.610590934787386, 0.7056524703714442, 0.8460167845365102, 0.896609351042088, 0.9994195675782734, 1.132674495283612, 1.182954567627556, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.5664399320728115, 1.705989916777815]","[-1.6800003323782198, -1.5837401457919646, -1.4874799592057095, -1.3912197726194544, -1.294959586033199, -1.198699399446944, -1.1024392128606888, -1.0061790262744337, -0.9099188396881784, -0.8136586531019232, -0.717398466515668, -0.6211382799294128, -0.5248780933431576, -0.4286179067569025, -0.3323577201706473, -0.2360975335843921, -0.1398373469981369, -0.0435771604118817, 0.0526830261743734, 0.1489432127606286, 0.2452033993468838, 0.341463585933139, 0.4377237725193942, 0.5339839591056493, 0.6302441456919046, 0.7265043322781597, 0.8227645188644149, 0.9190247054506702, 1.0152848920369253, 1.1115450786231804, 1.2078052652094358, 1.3040654517956909, 1.400325638381946, 1.4965858249682011, 1.5928460115544565, 1.6891061981407116]",0
vehicle_1004,"[-1.665497207851262, -1.5840357686448605, -1.4735525461277754, -1.3918212659379157, -1.2816078844042889, -1.2005134051972464, -1.089663222680802, -1.0083791522821652, -0.927159742740695, -0.8456795708251941, -0.7057738992338289, -0.6243400116395699, -0.5550332115268856, -0.4736533971299493, -0.3218845757868556, -0.2259122449251123, -0.1571090362418853, -0.0774093883212667, 0.0031675801843723, 0.1579770785218609, 0.2539494093836043, 0.3350451061236664, 0.4315606036409903, 0.5418664019688343, 0.6229624540573293, 0.7151641057116576, 0.8297833945540642, 0.910923260181296, 1.007044775338877, 1.117700387139294, 1.1928818638189362, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.5751970559098996, 1.693534372309754]","[-1.6383500419383703, -1.587830253761631, -1.4472449014403026, -1.397159002444032, -1.256139760942235, -1.2050380989871907, -1.0650346204441672, -1.014232425407761, -0.9633278193281706, -0.9128379856815916, -0.6828243394480317, -0.6322605396209147, -0.5661637360685795, -0.5155137127046594, -0.3006140584518962, -0.2050614882028623, -0.1384451884917172, -0.0852126521877887, -0.0333058483749759, 0.177148792793273, 0.2727013630423069, 0.3238011096785425, 0.418489017052541, 0.5593590737894085, 0.6104582614029277, 0.7115090766662686, 0.8460167845365102, 0.8970469803790174, 0.9923636512139508, 1.132674495283612, 1.1920661984625838, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.5761998906448718, 1.705989916777815]","[-1.6800003323782198, -1.5837401457919646, -1.4874799592057095, -1.3912197726194544, -1.294959586033199, -1.198699399446944, -1.1024392128606888, -1.0061790262744337, -0.9099188396881784, -0.8136586531019232, -0.717398466515668, -0.6211382799294128, -0.5248780933431576, -0.4286179067569025, -0.3323577201706473, -0.2360975335843921, -0.1398373469981369, -0.0435771604118817, 0.0526830261743734, 0.1489432127606286, 0.2452033993468838, 0.341463585933139, 0.4377237725193942, 0.5339839591056493, 0.6302441456919046, 0.7265043322781597, 0.8227645188644149, 0.9190247054506702, 1.0152848920369253, 1.1115450786231804, 1.2078052652094358, 1.3040654517956909, 1.400325638381946, 1.4965858249682011, 1.5928460115544565, 1.6891061981407116]",0
vehicle_1005,"[-1.665497207851262, -1.5927642628824483, -1.4735525461277754, -1.3920522530580337, -1.2816078844042889, -1.2005557938474956, -1.089663222680802, -1.0171213989802812, -0.9357130773642416, -0.865356741860044, -0.7057738992338289, -0.6245635369602035, -0.5433740480719083, -0.4617641093926608, -0.3218845757868556, -0.2259122449251123, -0.153676674346774, -0.0719393624558943, 0.0090594844306603, 0.1579770785218609, 0.2539494093836043, 0.3356710664100838, 0.4302504264463312, 0.5418664019688343, 0.6236467330518726, 0.7193172946260274, 0.8297833945540642, 0.9110342817054996, 1.007559797681168, 1.117700387139294, 1.1991058496857758, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.5830034268122206, 1.693534372309754]","[-1.6383500419383703, -1.5760091535523784, -1.4472449014403026, -1.3967872700043995, -1.256139760942235, -1.2049714793904769, -1.0650346204441672, -1.00247337750737, -0.9518687854720546, -0.8868804368405665, -0.6828243394480317, -0.6319054270580217, -0.5809535292935082, -0.530671879052846, -0.3006140584518962, -0.2050614882028623, -0.1421499579225078, -0.0920738169895011, -0.0408220276223506, 0.177148792793273, 0.2727013630423069, 0.3228028249309389, 0.4205408112710514, 0.5593590737894085, 0.6093655422999622, 0.7054040533154601, 0.8460167845365102, 0.8968715717456668, 0.9915373155618548, 1.132674495283612, 1.1832836463134202, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.5654807646619726, 1.705989916777815]","[-1.6800003323782198, -1.5837401457919646, -1.4874799592057095, -1.3912197726194544, -1.294959586033199, -1.198699399446944, -1.1024392128606888, -1.0061790262744337, -0.9099188396881784, -0.8136586531019232, -0.717398466515668, -0.6211382799294128, -0.5248780933431576, -0.4286179067569025, -0.3323577201706473, -0.2360975335843921, -0.1398373469981369, -0.0435771604118817, 0.0526830261743734, 0.1489432127606286, 0.2452033993468838, 0.341463585933139, 0.4377237725193942, 0.5339839591056493, 0.6302441456919046, 0.7265043322781597, 0.8227645188644149, 0.9190247054506702, 1.0152848920369253, 1.1115450786231804, 1.2078052652094358, 1.3040654517956909, 1.400325638381946, 1.4965858249682011, 1.5928460115544565, 1.6891061981407116]",0
vehicle_1006,"[-1.665497207851262, -1.584253142317647, -1.4735525461277754, -1.39257263531708, -1.2816078844042889, -1.1998278099834938, -1.089663222680802, -1.0080863889617544, -0.9282731211713604, -0.8470225192630658, -0.7057738992338289, -0.62444662816341, -0.5434534346103664, -0.4619646757193505, -0.3218845757868556, -0.2259122449251123, -0.1442280662969808, -0.0631051481068414, 0.0183625628191335, 0.1579770785218609, 0.2539494093836043, 0.3219115623494303, 0.4311980201680633, 0.5418664019688343, 0.6145890025428316, 0.7195084467359283, 0.8297833945540642, 0.9062370271320992, 1.0059399514923173, 1.117700387139294, 1.1995378610732703, 1.3096450488627809, 1.4056173797245242, 1.5015897105862674, 1.5829543187201318, 1.693534372309754]","[-1.6383500419383703, -1.58748445253546, -1.4472449014403026, -1.3959634585661989, -1.256139760942235, -1.2061328763535997, -1.0650346204441672, -1.014699746955251, -0.9616362258055016, -0.9107809868429236, -0.6828243394480317, -0.6320907271415931, -0.5808300822477145, -0.5303539878459221, -0.3006140584518962, -0.2050614882028623, -0.1548994784944941, -0.1038425805915382, -0.0533328184601739, 0.177148792793273, 0.2727013630423069, 0.3401680560981658, 0.4190684822823983, 0.5593590737894085, 0.6217119236132644, 0.7050969951150216, 0.8460167845365102, 0.9037762395854488, 0.9940755728211476, 1.132674495283612, 1.182588209952382, 1.3237796357816796, 1.4193322060307134, 1.5148847762797473, 1.5655590103714951, 1.705989916777815]","[-1.6800003323782198, -1.5837401457919646, -1.4874799592057095, -1.3912197726194544, -1.294959586033199, -1.198699399446944, -1.1024392128606888, -1.0061790262744337, -0.9099188396881784, -0.8136586531019232, -0.717398466515668, -0.6211382799294128, -0.5248780933431576, -0.4286179067569025, -0.3323577201706473, -0.2360975335843921, -0.1398373469981369, -0.0435771604118817, 0.0526830261743734, 0.1489432127606286, 0.2452033993468838, 0.341463585933139, 0.4377237725193942, 0.5339839591056493, 0.6302441456919046, 0.7265043322781597, 0.8227645188644149, 0.9190247054506702, 1.0152848920369253, 1.1115450786231804, 1.2078052652094358, 1.3040654517956909, 1.400325638381946, 1.4965858249682011, 1.5928460115544565, 1.6891061981407116]",0
